pitch,roll,J00,J01,J10,J11,det,m0,m1,err,reachable,near_singular
-0.473573,0.017455,-0.372800224,0.376314114,0.763416158,0.778272056,-0.577424272,0.621880003,-0.599238356,4.082e-05,1,0
-0.473573,0.034910,-0.370728205,0.377772895,0.755592202,0.785323479,-0.576583818,0.633285614,-0.587992708,4.908e-05,1,0
-0.473573,0.052365,-0.368434535,0.379043914,0.747489889,0.792135643,-0.57518162,0.644754873,-0.576791408,7.039e-05,1,0
-0.473573,0.069820,-0.365910202,0.380135286,0.739097309,0.798716522,-0.573215491,0.656293732,-0.565630557,8.784e-05,1,0
-0.473573,0.087275,-0.363147517,0.381085966,0.730411899,0.805083851,-0.570713925,0.667908689,-0.554506567,2.074e-09,1,0
-0.473573,0.104730,-0.360136173,0.381846636,0.721401216,0.811225636,-0.567616324,0.679606861,-0.543416131,2.725e-09,1,0
-0.473573,0.122185,-0.356866474,0.382450933,0.712058599,0.817157082,-0.563943442,0.691396057,-0.532356207,3.286e-09,1,0
-0.473573,0.139640,-0.353327821,0.382906508,0.702367331,0.82288401,-0.559688836,0.703284866,-0.521324,3.597e-09,1,0
-0.473573,0.157095,-0.349508998,0.383221023,0.692309062,0.828411737,-0.554844743,0.715282764,-0.510316938,3.483e-09,1,0
-0.473573,0.174550,-0.345398062,0.383402184,0.681863582,0.833745069,-0.549401918,0.727400236,-0.499332666,2.772e-09,1,0
-0.473573,0.192005,-0.340982221,0.383457769,0.671008561,0.838888298,-0.543349441,0.73964893,-0.488369029,1.673e-09,1,0
-0.473573,0.209460,-0.336247684,0.383395665,0.659719226,0.843845169,-0.536674475,0.752041827,-0.47742406,2.382e-09,1,0
-0.473573,0.226915,-0.331179488,0.383223905,0.647967991,0.848618849,-0.52936198,0.764593465,-0.466495973,3.843e-09,1,0
-0.473573,0.244370,-0.325761275,0.382950714,0.635723995,0.853211869,-0.521394344,0.777320198,-0.455583152,6.581e-09,1,0
-0.473573,0.261825,-0.319975034,0.382584558,0.622952551,0.857626054,-0.512750952,0.790240519,-0.444684143,1.093e-08,1,0
-0.473573,0.279280,-0.313800771,0.382134213,0.609614465,0.861862421,-0.503407636,0.803375465,-0.433797649,1.786e-08,1,0
-0.473573,0.296735,-0.307216102,0.381608837,0.595665186,0.865921054,-0.49333599,0.816749119,-0.422922524,2.821e-08,1,0
-0.473573,0.314190,-0.300195738,0.381018068,0.581053748,0.869800935,-0.48250251,0.830389248,-0.412057765,4.306e-08,1,0
-0.473573,0.331645,-0.292710827,0.380372145,0.565721414,0.87349972,-0.470867493,0.844328129,-0.401202512,6.373e-08,1,0
-0.473573,0.349100,-0.284728096,0.379682059,0.549599924,0.877013446,-0.458383599,0.858603623,-0.390356038,9.175e-08,1,0
-0.458447,-0.349100,-0.377058656,0.299480193,0.884440249,0.579938142,-0.483543033,0.372217244,-0.830319768,7.770e-08,1,0
-0.458447,-0.331645,-0.378044968,0.306562345,0.880996538,0.594499035,-0.494827734,0.383029523,-0.816849108,5.373e-08,1,0
-0.458447,-0.314190,-0.378981915,0.313210376,0.877396039,0.608399631,-0.505382001,0.393845322,-0.803638954,3.608e-08,1,0
-0.458447,-0.296735,-0.379860144,0.319449189,0.873640132,0.621691336,-0.515239392,0.404665194,-0.790661899,2.342e-08,1,0
-0.458447,-0.279280,-0.380670807,0.325300786,0.869729122,0.634419066,-0.524428385,0.415489822,-0.77789418,1.465e-08,1,0
-0.458447,-0.261825,-0.381405459,0.330784785,0.865662424,0.646622327,-0.532973244,0.426320016,-0.765315041,8.800e-09,1,0
-0.458447,-0.244370,-0.382055985,0.335918825,0.861438695,0.658336063,-0.540894707,0.437156718,-0.752906235,5.828e-09,1,0
-0.458447,-0.226915,-0.382614537,0.340718891,0.857055944,0.669591355,-0.548210537,0.448001006,-0.740651623,3.071e-09,1,0
-0.458447,-0.209460,-0.383073482,0.345199579,0.852511615,0.680415973,-0.554935967,0.458854098,-0.728536863,1.754e-09,1,0
-0.458447,-0.192005,-0.383425363,0.34937431,0.847802649,0.690834846,-0.561084067,0.469717355,-0.716549137,1.335e-09,1,0
-0.458447,-0.174550,-0.383662857,0.35325551,0.842925531,0.700870437,-0.566666042,0.480592292,-0.70467695,2.564e-09,1,0
-0.458447,-0.157095,-0.383778749,0.356854752,0.837876322,0.710543071,-0.571691479,0.491480581,-0.692909945,3.144e-09,1,0
-0.458447,-0.139640,-0.383765904,0.360182888,0.832650686,0.719871201,-0.57616855,0.502384056,-0.681238761,3.197e-09,1,0
-0.458447,-0.122185,-0.383617238,0.363250142,0.827243899,0.728871637,-0.580104188,0.513304729,-0.669654908,2.879e-09,1,0
-0.458447,-0.104730,-0.383325703,0.366066207,0.821650855,0.737559743,-0.583504219,0.524244793,-0.658150663,2.353e-09,1,0
-0.458447,-0.087275,-0.382855838,0.368640581,0.815857309,0.745941172,-0.586346045,0.535206636,-0.646718983,9.480e-05,1,0
-0.458447,-0.069820,-0.382262169,0.370982688,0.809876294,0.754047341,-0.588693856,0.546192855,-0.63535343,8.303e-05,1,0
-0.458447,-0.052365,-0.381504597,0.373098926,0.803691004,0.761879625,-0.59051683,0.557206267,-0.624048106,6.647e-05,1,0
-0.458447,-0.034910,-0.38057575,0.374997601,0.797294775,0.769449146,-0.591817314,0.568249927,-0.612797597,4.632e-05,1,0
-0.458447,-0.017455,-0.379468194,0.376686798,0.79068045,0.776766201,-0.592596954,0.579327148,-0.601596927,3.169e-05,1,0
-0.458447,0.000000,-0.378174415,0.378174415,0.783840344,0.783840344,-0.592856727,0.590441517,-0.590441517,3.024e-05,1,0
-0.458447,0.017455,-0.376686799,0.379468194,0.776766201,0.79068045,-0.592596954,0.601596927,-0.579327148,3.169e-05,1,0
-0.458447,0.034910,-0.374997601,0.38057575,0.769449146,0.797294775,-0.591817314,0.612797597,-0.568249927,4.632e-05,1,0
-0.458447,0.052365,-0.373098926,0.381504598,0.761879625,0.803691003,-0.59051683,0.624048106,-0.557206267,6.647e-05,1,0
-0.458447,0.069820,-0.370982688,0.382262169,0.754047341,0.809876294,-0.588693856,0.63535343,-0.546192855,8.303e-05,1,0
-0.458447,0.087275,-0.368640581,0.382855838,0.745941172,0.815857309,-0.586346045,0.646718983,-0.535206636,9.480e-05,1,0
-0.458447,0.104730,-0.366066207,0.383325703,0.737559743,0.821650855,-0.583504219,0.658150663,-0.524244793,2.353e-09,1,0
-0.458447,0.122185,-0.363250142,0.383617238,0.728871637,0.827243899,-0.580104188,0.669654908,-0.513304729,2.879e-09,1,0
-0.458447,0.139640,-0.360182888,0.383765904,0.719871201,0.832650686,-0.57616855,0.681238761,-0.502384056,3.197e-09,1,0
-0.458447,0.157095,-0.356854752,0.383778749,0.710543071,0.837876322,-0.571691479,0.692909945,-0.491480581,3.144e-09,1,0
-0.458447,0.174550,-0.35325551,0.383662857,0.700870437,0.842925531,-0.566666042,0.70467695,-0.480592292,2.564e-09,1,0
-0.458447,0.192005,-0.34937431,0.383425363,0.690834846,0.847802649,-0.561084067,0.716549137,-0.469717355,1.335e-09,1,0
-0.458447,0.209460,-0.345199579,0.383073482,0.680415973,0.852511615,-0.554935967,0.728536863,-0.458854098,1.754e-09,1,0
-0.458447,0.226915,-0.340718891,0.382614537,0.669591355,0.857055944,-0.548210537,0.740651623,-0.448001006,3.071e-09,1,0
-0.458447,0.244370,-0.335918825,0.382055985,0.658336063,0.861438695,-0.540894707,0.752906235,-0.437156718,5.828e-09,1,0
-0.458447,0.261825,-0.330784786,0.381405459,0.646622327,0.865662424,-0.532973244,0.765315041,-0.426320016,8.800e-09,1,0
-0.458447,0.279280,-0.325300786,0.380670807,0.634419066,0.869729122,-0.524428385,0.77789418,-0.415489822,1.465e-08,1,0
-0.458447,0.296735,-0.319449189,0.379860144,0.621691336,0.873640132,-0.515239392,0.790661899,-0.404665194,2.342e-08,1,0
-0.458447,0.314190,-0.313210376,0.378981915,0.608399631,0.877396039,-0.505382001,0.803638954,-0.393845322,3.608e-08,1,0
-0.458447,0.331645,-0.306562345,0.378044968,0.594499035,0.880996538,-0.494827734,0.816849108,-0.383029523,5.373e-08,1,0
-0.458447,0.349100,-0.299480193,0.377058656,0.579938142,0.884440249,-0.483543033,0.830319768,-0.372217244,7.770e-08,1,0
-0.443320,-0.349100,-0.374389438,0.312982429,0.891220878,0.608014909,-0.506570835,0.354068887,-0.803195276,6.559e-08,1,0
-0.443320,-0.331645,-0.375649782,0.319267736,0.88786733,0.621209424,-0.516824577,0.36485251,-0.790403489,4.517e-08,1,0
-0.443320,-0.314190,-0.376857526,0.325168708,0.884380603,0.633845402,-0.526442308,0.375634611,-0.777814017,3.015e-08,1,0
-0.443320,-0.296735,-0.378004536,0.330704433,0.880760263,0.645962343,-0.535448019,0.386415596,-0.765406595,1.941e-08,1,0
-0.443320,-0.279280,-0.379083017,0.335892048,0.87700516,0.657595187,-0.543862227,0.397195986,-0.753163401,1.198e-08,1,0
-0.443320,-0.261825,-0.380085451,0.340747062,0.873113551,0.668774995,-0.551702523,0.407976421,-0.74106867,7.491e-09,1,0
-0.443320,-0.244370,-0.381004548,0.345283616,0.86908318,0.679529517,-0.55898402,0.418757662,-0.729108379,5.164e-09,1,0
-0.443320,-0.226915,-0.381833208,0.34951469,0.864911351,0.689883651,-0.565719711,0.429540592,-0.717269998,2.636e-09,1,0
-0.443320,-0.209460,-0.382564483,0.353452282,0.860594981,0.699859827,-0.571920773,0.440326223,-0.705542278,1.267e-09,1,0
-0.443320,-0.192005,-0.383191548,0.35710755,0.856130637,0.709478328,-0.577596813,0.451115695,-0.693915083,1.274e-09,1,0
-0.443320,-0.174550,-0.383707679,0.360490937,0.851514569,0.718757563,-0.582756082,0.461910281,-0.682379241,2.330e-09,1,0
-0.443320,-0.157095,-0.384106232,0.363612269,0.846742727,0.727714294,-0.58740564,0.472711398,-0.670926433,2.806e-09,1,0
-0.443320,-0.139640,-0.384380617,0.366480845,0.841810779,0.73636384,-0.591551512,0.483520602,-0.659549083,2.816e-09,1,0
-0.443320,-0.122185,-0.384524288,0.369105506,0.836714112,0.744720235,-0.595198804,0.494339605,-0.648240277,2.506e-09,1,0
-0.443320,-0.104730,-0.384530723,0.371494706,0.831447835,0.752796385,-0.598351807,0.505170276,-0.636993688,2.020e-09,1,0
-0.443320,-0.087275,-0.384367306,0.373658328,0.825999392,0.760597417,-0.600990331,0.516014652,-0.625803517,8.923e-05,1,0
-0.443320,-0.069820,-0.384084233,0.375601636,0.820379371,0.768149342,-0.603169885,0.526874946,-0.614664432,7.806e-05,1,0
-0.443320,-0.052365,-0.383644508,0.377331792,0.814572999,0.775453633,-0.604862817,0.537753559,-0.603571529,6.244e-05,1,0
-0.443320,-0.034910,-0.383041326,0.378856255,0.808574223,0.78251987,-0.606070851,0.548653092,-0.592520285,4.349e-05,1,0
-0.443320,-0.017455,-0.382267846,0.380182324,0.802376606,0.789356978,-0.606795194,0.55957636,-0.581506529,2.421e-05,1,0
-0.443320,0.000000,-0.381317168,0.381317168,0.795973292,0.795973292,-0.607036563,0.570526408,-0.570526408,2.284e-05,1,0
-0.443320,0.017455,-0.380182324,0.382267846,0.789356978,0.802376605,-0.606795194,0.581506529,-0.55957636,2.421e-05,1,0
-0.443320,0.034910,-0.378856255,0.383041326,0.78251987,0.808574223,-0.606070851,0.592520285,-0.548653092,4.349e-05,1,0
-0.443320,0.052365,-0.377331792,0.383644508,0.775453633,0.814572999,-0.604862817,0.603571529,-0.537753559,6.244e-05,1,0
