pitch,roll,J00,J01,J10,J11,det,m0,m1,err,reachable,near_singular
-0.871820,-0.244370,0.662031141,-0.424274636,-0.838541743,-0.915061614,-0.961571277,-0.698535603,0.970030606,4.387e-07,1,0
-0.871820,-0.226915,0.65611547,-0.434611801,-0.84449002,-0.915903747,-0.967963946,-0.706305128,0.958106397,4.218e-07,1,0
-0.871820,-0.209460,0.650048898,-0.444843217,-0.850459346,-0.916366914,-0.974004374,-0.714209796,0.946366222,4.125e-07,1,0
-0.871820,-0.192005,0.643829905,-0.454965645,-0.856440102,-0.916469433,-0.979701251,-0.722248833,0.934806334,3.921e-07,1,0
-0.871820,-0.174550,0.637457204,-0.464975909,-0.862422701,-0.916228607,-0.985062306,-0.730421494,0.923423365,3.626e-07,1,0
-0.871820,-0.157095,0.630929736,-0.47487092,-0.86839758,-0.915660848,-0.990094415,-0.738727068,0.912214289,3.260e-07,1,0
-0.871820,-0.139640,0.624246678,-0.484647671,-0.874355186,-0.914781781,-0.994803692,-0.747164879,0.901176391,2.840e-07,1,0
-0.871820,-0.122185,0.617407437,-0.494303263,-0.880285977,-0.913606328,-0.999195573,-0.755734292,0.890307241,2.381e-07,1,0
-0.871820,-0.104730,0.610411662,-0.503834913,-0.886180406,-0.912148806,-1.0032749,-0.76443471,0.879604663,1.896e-07,1,0
-0.871820,-0.087275,0.603259233,-0.513239953,-0.892028923,-0.910422981,-1.00704595,-0.77326558,0.869066721,1.399e-07,1,0
-0.871820,-0.069820,0.595950269,-0.52251586,-0.897821958,-0.908442143,-1.01051255,-0.782226396,0.858691693,9.002e-08,1,0
-0.871820,-0.052365,0.588485123,-0.531660244,-0.903549926,-0.906219158,-1.01367807,-0.7913167,0.848478057,4.817e-08,1,0
-0.871820,-0.034910,0.580864383,-0.540670879,-0.909203208,-0.903766512,-1.01654548,-0.800536085,0.838424472,4.732e-08,1,0
-0.871820,-0.017455,0.57308887,-0.549545689,-0.914772162,-0.901096367,-1.0191174,-0.809884202,0.828529766,4.975e-08,1,0
-0.871820,0.000000,0.565159636,-0.558282777,-0.920247095,-0.898220587,-1.02139612,-0.819360756,0.818792924,8.959e-08,1,0
-0.871820,0.017455,0.557077962,-0.566880421,-0.92561827,-0.895150772,-1.02338364,-0.828965518,0.809213072,1.243e-07,1,0
-0.871820,0.034910,0.548845353,-0.575337082,-0.930875893,-0.891898298,-1.02508166,-0.838698323,0.799789471,1.526e-07,1,0
-0.871820,0.052365,0.540463536,-0.583651412,-0.936010098,-0.88847434,-1.0264916,-0.848559076,0.790521504,1.732e-07,1,0
-0.871820,0.069820,0.53193446,-0.591822262,-0.941010946,-0.884889883,-1.02761465,-0.858547756,0.78140867,1.847e-07,1,0
-0.871820,0.087275,0.523260283,-0.599848686,-0.9458684,-0.881155766,-1.02845173,-0.868664423,0.772450573,1.854e-07,1,0
-0.871820,0.104730,0.514443378,-0.607729945,-0.950572324,-0.87728268,-1.02900353,-0.87890922,0.763646916,1.735e-07,1,0
-0.871820,0.122185,0.505486318,-0.615465516,-0.95511245,-0.87328119,-1.02927047,-0.889282381,0.754997495,2.030e-07,1,0
-0.871820,0.139640,0.496391884,-0.623055088,-0.959478379,-0.869161755,-1.02925273,-0.899784234,0.74650219,2.614e-07,1,0
-0.871820,0.157095,0.487163043,-0.630498571,-0.963659538,-0.864934734,-1.0289502,-0.910415213,0.738160962,3.276e-07,1,0
-0.871820,0.174550,0.47780296,-0.637796101,-0.967645177,-0.860610405,-1.02836252,-0.92117586,0.729973844,4.024e-07,1,0
-0.871820,0.192005,0.468314981,-0.644948035,-0.971424325,-0.856198972,-1.02748901,-0.932066837,0.721940941,4.866e-07,1,0
-0.871820,0.209460,0.458702631,-0.651954961,-0.974985761,-0.851710567,-1.02632868,-0.943088931,0.714062419,5.811e-07,1,0
-0.871820,0.226915,0.448969614,-0.658817691,-0.978317993,-0.847155279,-1.02488018,-0.954243068,0.706338505,6.869e-07,1,0
-0.871820,0.244370,0.439119801,-0.66553727,-0.981409197,-0.84254314,-1.02314177,-0.965530321,0.69876948,8.050e-07,1,0
-0.871820,0.261825,0.429157227,-0.672114969,-0.984247185,-0.837884153,-1.02111131,-0.97695192,0.691355679,9.749e-07,1,0
-0.871820,0.279280,0.419086093,-0.678552291,-0.98681935,-0.833188291,-1.01878616,-0.988509271,0.684097482,1.294e-06,1,0
-0.871820,0.296735,0.40891075,-0.684850966,-0.989112609,-0.828465507,-1.01616318,-1.00020396,0.676995312,1.672e-06,1,0
-0.871820,0.314190,0.398635709,-0.69101295,-0.991113338,-0.823725747,-1.01323865,-1.0120378,0.670049633,2.118e-06,1,0
-0.871820,0.331645,0.388265631,-0.697040429,-0.992807297,-0.818978953,-1.0100082,-1.02401279,0.663260947,2.638e-06,1,0
-0.871820,0.349100,0.377805326,-0.702935812,-0.994179545,-0.814235088,-1.00646676,-1.03613119,0.656629788,3.241e-06,1,0
-0.853930,-0.349100,0.689969143,-0.364153581,-0.800150664,-0.899794737,-0.912208332,-0.637175138,1.0300072,1.107e-06,1,0
-0.853930,-0.331645,0.685015674,-0.374850452,-0.805478052,-0.902844622,-0.920396529,-0.644213703,1.016911,9.420e-07,1,0
-0.853930,-0.314190,0.6799298,-0.385460186,-0.810891523,-0.905415408,-0.928185315,-0.651392637,1.00402277,7.942e-07,1,0
-0.853930,-0.296735,0.674708633,-0.395979508,-0.816381257,-0.907532823,-0.935590479,-0.658710943,0.991336115,6.623e-07,1,0
-0.853930,-0.279280,0.669349486,-0.406405138,-0.821937579,-0.909220646,-0.942626027,-0.666167646,0.978845317,5.453e-07,1,0
-0.853930,-0.261825,0.66384988,-0.416733814,-0.827550924,-0.910500943,-0.949304395,-0.67376179,0.966545232,4.422e-07,1,0
-0.853930,-0.244370,0.658207546,-0.426962297,-0.833211832,-0.911394287,-0.955636635,-0.681492444,0.954431238,3.947e-07,1,0
-0.853930,-0.226915,0.652420425,-0.437087393,-0.838910917,-0.911919921,-0.961632568,-0.689358701,0.942499184,3.898e-07,1,0
-0.853930,-0.209460,0.64648668,-0.44710596,-0.844638861,-0.912095933,-0.967300941,-0.697359682,0.930745337,3.749e-07,1,0
-0.853930,-0.192005,0.64040469,-0.457014923,-0.850386405,-0.911939387,-0.972649538,-0.705494535,0.919166347,3.517e-07,1,0
-0.853930,-0.174550,0.634173058,-0.466811285,-0.856144323,-0.911466436,-0.977685289,-0.713762442,0.907759204,3.220e-07,1,0
-0.853930,-0.157095,0.627790611,-0.476492138,-0.861903427,-0.910692442,-0.982414371,-0.722162615,0.896521215,2.872e-07,1,0
-0.853930,-0.139640,0.621256399,-0.48605467,-0.867654551,-0.909632058,-0.986842284,-0.730694304,0.885449967,2.486e-07,1,0
-0.853930,-0.122185,0.614569704,-0.495496184,-0.873388542,-0.908299316,-0.990973931,-0.739356795,0.874543308,2.072e-07,1,0
-0.853930,-0.104730,0.607730033,-0.504814095,-0.879096261,-0.906707695,-0.994813681,-0.748149413,0.863799324,1.642e-07,1,0
-0.853930,-0.087275,0.600737121,-0.514005956,-0.884768567,-0.904870189,-0.998365425,-0.757071528,0.853216317,1.205e-07,1,0
-0.853930,-0.069820,0.593590932,-0.523069449,-0.890396316,-0.90279936,-1.00163262,-0.766122553,0.84279279,7.702e-08,1,0
-0.853930,-0.052365,0.586291658,-0.532002407,-0.89597035,-0.900507388,-1.00461835,-0.775301947,0.832527427,4.528e-08,1,0
-0.853930,-0.034910,0.578839715,-0.540802817,-0.901481495,-0.898006118,-1.00732534,-0.784609223,0.822419086,4.423e-08,1,0
-0.853930,-0.017455,0.571235749,-0.549468829,-0.906920561,-0.8953071,-1.009756,-0.794043944,0.812466778,4.459e-08,1,0
-0.853930,0.000000,0.563480622,-0.557998759,-0.912278311,-0.892421617,-1.01191245,-0.803605731,0.802669661,7.950e-08,1,0
-0.853930,0.017455,0.555575423,-0.566391106,-0.917545487,-0.889360725,-1.01379656,-0.813294264,0.793027027,1.102e-07,1,0
-0.853930,0.034910,0.547521454,-0.574644547,-0.922712771,-0.88613527,-1.01540993,-0.823109286,0.783538292,1.358e-07,1,0
-0.853930,0.052365,0.539320236,-0.582757951,-0.927770798,-0.882755921,-1.01675394,-0.833050608,0.774202989,1.553e-07,1,0
-0.853930,0.069820,0.530973498,-0.590730383,-0.932710129,-0.879233188,-1.01782973,-0.843118111,0.765020758,1.676e-07,1,0
-0.853930,0.087275,0.522483177,-0.598561106,-0.937521251,-0.875577438,-1.01863824,-0.853311753,0.755991339,1.712e-07,1,0
-0.853930,0.104730,0.513851415,-0.606249588,-0.942194558,-0.871798918,-1.01918017,-0.863631572,0.747114565,1.648e-07,1,0
-0.853930,0.122185,0.505080551,-0.613795508,-0.946720336,-0.867907766,-1.01945602,-0.874077691,0.738390358,1.697e-07,1,0
-0.853930,0.139640,0.496173117,-0.621198755,-0.951088745,-0.863914029,-1.01946606,-0.884650323,0.72981872,2.196e-07,1,0
-0.853930,0.157095,0.487131838,-0.628459433,-0.955289806,-0.859827667,-1.01921032,-0.895349782,0.721399729,2.762e-07,1,0
-0.853930,0.174550,0.47795962,-0.635577866,-0.959313367,-0.855658574,-1.01868859,-0.906176483,0.713133532,3.402e-07,1,0
-0.853930,0.192005,0.468659554,-0.642554599,-0.963149089,-0.851416582,-1.01790039,-0.917130952,0.705020343,4.123e-07,1,0
-0.853930,0.209460,0.459234899,-0.649390396,-0.966786412,-0.847111475,-1.01684496,-0.928213836,0.697060438,4.932e-07,1,0
-0.853930,0.226915,0.449689088,-0.656086245,-0.970214522,-0.842752995,-1.01552123,-0.939425909,0.68925415,5.839e-07,1,0
-0.853930,0.244370,0.44002572,-0.662643358,-0.973422314,-0.838350853,-1.01392777,-0.950768084,0.681601862,6.852e-07,1,0
-0.853930,0.261825,0.430248557,-0.669063172,-0.976398363,-0.833914738,-1.0120628,-0.962241421,0.674104009,7.981e-07,1,0
-0.853930,0.279280,0.420361511,-0.675347345,-0.979130857,-0.82945433,-1.0099241,-0.973847141,0.666761072,9.709e-07,1,0
-0.853930,0.296735,0.410368656,-0.681497764,-0.981607562,-0.824979296,-1.007509,-0.985586639,0.659573572,1.269e-06,1,0
-0.853930,0.314190,0.400274213,-0.687516531,-0.983815754,-0.820499316,-1.00481431,-0.997461497,0.652542069,1.620e-06,1,0
-0.853930,0.331645,0.390082551,-0.693405978,-0.985742153,-0.816024086,-1.00183626,-1.00947351,0.645667159,2.031e-06,1,0
-0.853930,0.349100,0.379798189,-0.699168649,-0.987372861,-0.811563332,-0.998570434,-1.02162467,0.63894947,2.509e-06,1,0
-0.836040,-0.349100,0.685494597,-0.367945617,-0.796431684,-0.898498712,-0.90895956,-0.619509896,1.01432372,8.805e-07,1,0
-0.836040,-0.331645,0.68064373,-0.378441313,-0.801485316,-0.901052583,-0.916610946,-0.626646199,1.00126163,7.494e-07,1,0
-0.836040,-0.314190,0.675665019,-0.388848391,-0.806630652,-0.903164998,-0.923894028,-0.633922849,0.98839873,6.314e-07,1,0
-0.836040,-0.296735,0.670555508,-0.399163647,-0.811858162,-0.90485954,-0.930822814,-0.641338776,0.975729324,5.259e-07,1,0
-0.836040,-0.279280,0.665312438,-0.409383895,-0.817158455,-0.906158072,-0.937409748,-0.648892929,0.963248286,4.322e-07,1,0
-0.836040,-0.261825,0.65993325,-0.419505981,-0.822522268,-0.907080942,-0.943665885,-0.65658428,0.950951017,3.624e-07,1,0
-0.836040,-0.244370,0.654415595,-0.429526797,-0.827940444,-0.907647167,-0.949601067,-0.664411823,0.938833388,3.607e-07,1,0
-0.836040,-0.226915,0.64875733,-0.43944329,-0.833403919,-0.907874595,-0.955224057,-0.672374577,0.926891689,3.502e-07,1,0
-0.836040,-0.209460,0.64295652,-0.449252472,-0.838903695,-0.907780036,-0.960542652,-0.680471588,0.91512259,3.323e-07,1,0
-0.836040,-0.192005,0.63701145,-0.458951436,-0.844430846,-0.907379389,-0.965563809,-0.68870193,0.903523109,3.086e-07,1,0
-0.836040,-0.174550,0.630920615,-0.468537358,-0.84997649,-0.906687744,-0.970293728,-0.697064709,0.892090573,2.801e-07,1,0
-0.836040,-0.157095,0.624682732,-0.478007513,-0.85553179,-0.905719483,-0.974737944,-0.705559063,0.880822594,2.481e-07,1,0
-0.836040,-0.139640,0.618296734,-0.48735928,-0.861087943,-0.904488352,-0.978901394,-0.714184165,0.869717047,2.135e-07,1,0
-0.836040,-0.122185,0.611761775,-0.496590154,-0.866636167,-0.903007545,-0.982788487,-0.722939224,0.858772041,1.771e-07,1,0
-0.836040,-0.104730,0.605077232,-0.505697757,-0.872167703,-0.90128976,-0.986403165,-0.731823489,0.847985905,1.397e-07,1,0
-0.836040,-0.087275,0.598242699,-0.514679837,-0.877673799,-0.89934726,-0.98974894,-0.74083625,0.837357169,1.020e-07,1,0
-0.836040,-0.069820,0.591257992,-0.523534287,-0.88314571,-0.897191922,-0.992828954,-0.749976841,0.826884547,6.465e-08,1,0
-0.836040,-0.052365,0.584123148,-0.532259149,-0.888574688,-0.894835285,-0.995646011,-0.759244642,0.816566924,4.175e-08,1,0
-0.836040,-0.034910,0.576838425,-0.540852615,-0.893951983,-0.892288587,-0.998202611,-0.768639081,0.806403341,4.059e-08,1,0
-0.836040,-0.017455,0.569404291,-0.549313049,-0.899268818,-0.889562798,-1.00050097,-0.778159639,0.796392988,3.942e-08,1,0
-0.836040,0.000000,0.561821436,-0.557638976,-0.904516411,-0.886668655,-1.00254306,-0.787805851,0.786535187,6.949e-08,1,0
-0.836040,0.017455,0.554090762,-0.565829102,-0.909685941,-0.883616695,-1.00433063,-0.797577308,0.776829389,9.621e-08,1,0
-0.836040,0.034910,0.546213383,-0.573882312,-0.914768556,-0.880417263,-1.00586519,-0.807473664,0.76727516,1.189e-07,1,0
-0.836040,0.052365,0.538190616,-0.581797683,-0.919755358,-0.877080557,-1.00714806,-0.817494636,0.757872175,1.367e-07,1,0
-0.836040,0.069820,0.530023989,-0.58957448,-0.924637393,-0.873616626,-1.00818038,-0.82764001,0.748620212,1.488e-07,1,0
-0.836040,0.087275,0.521715224,-0.597212166,-0.929405646,-0.870035403,-1.00896307,-0.837909644,0.739519142,1.543e-07,1,0
-0.836040,0.104730,0.513266243,-0.604710408,-0.934051015,-0.866346711,-1.00949689,-0.84830347,0.730568926,1.518e-07,1,0
-0.836040,0.122185,0.504679163,-0.612069074,-0.938564318,-0.862560285,-1.0097824,-0.858821507,0.721769607,1.401e-07,1,0
-0.836040,0.139640,0.495956282,-0.619288244,-0.942936253,-0.858685782,-1.00981994,-0.869463854,0.713121305,1.817e-07,1,0
-0.836040,0.157095,0.487100088,-0.626368209,-0.947157402,-0.854732788,-1.0096097,-0.880230706,0.704624212,2.294e-07,1,0
